ID,여정단계,화면,영역/컴포넌트,위치(파일:라인),문구유형,노출조건/트리거,"현재 문구 (ASIS)
❌ 절대 편집 금지 ❌",동적변수,최종본,비고,"글자수·공간제약
기존 글자수를 유지하는 방향으로",상태
1,0,공통,메타데이터(탭 제목),app/layout.tsx:13,제목,브라우저 탭,감옥 - 디지털 디톡스 타이머,,감옥 - 디지털 디톡스 스페이스,SEO/브랜드 핵심,,
2,0,공통,메타데이터(설명),app/layout.tsx:14,본문/설명,검색엔진,"남들이 딴짓할 때, 우리는 서로를 가두고 집중합니다. 가장 효율적인 디지털 디톡스 타이머.",,"딴짓하는 순간, 당신은 실패입니다. 가장 치열한 집중을 위한 효율적인 디지털 디톡스 타이머.",,,
3,0,공통,메타데이터(탭 제목),app/page.tsx:5,제목,브라우저 탭,감옥 - 함께 만드는 집중 시간,,감옥 - 함께 만드는 집중 공간,,,
4,0,공통,메타데이터(설명),app/page.tsx:6,본문/설명,검색엔진,친구들과 함께 방을 만들어 집중 시간을 관리하고 벌칙으로 자극을 더하세요.,,멤버들과 함께 공간을 만들어 집중 시간에 몰입하고 벌칙으로 동기를 더하세요.,,,
5,0,공통,BackButton,components/layout/BackButton.tsx:20,툴팁,뒤로가기 버튼 aria,뒤로가기,,,접근성 라벨,,
6,0,공통,CloseButton,components/layout/CloseButton.tsx:18,툴팁,닫기 버튼 aria,닫기,,,접근성 라벨,,
7,0,공통,HomeButton,components/layout/HomeButton.tsx:20,툴팁,홈 버튼 aria,홈으로 이동,,,접근성 라벨,,
8,0,공통,RequireAuth,components/auth/RequireAuth.tsx:21,토스트/알림,로그인 필요 기본 메시지,로그인하고 바로 이어가세요.,,로그인이 필요해요.,,,
9,0,공통,ConfirmDialog(기본),components/common/ConfirmDialog.tsx:51,본문/설명,description 미지정 시,선택한 작업을 진행하거나 취소할 수 있는 확인 창입니다.,,,접근성용 기본값,,
10,0,공통,ConfirmDialog(기본),components/common/ConfirmDialog.tsx:64,버튼,cancelText 미지정 시,취소,,,,,
11,0,공통,ConfirmDialog(기본),components/common/ConfirmDialog.tsx:74,버튼,confirmText 미지정 시,확인,,,,,
12,0,공통,ProfileImagePicker,components/common/ProfileImagePicker.tsx:17,라벨,label 미지정 시,프로필 이미지,,,,,
13,0,공통,Loading,components/ui/loading.tsx:40,로딩,Loading 기본값,불러오는 중...,,,전역 로딩 기본 문구,,
14,1,메인,MainPage 슬로건,components/main/MainPage.tsx:114-119,제목,중앙 슬로건,남들이 딴짓할때<br />우리는 서로를 가두고<br />집중한다.,,남들이 딴짓할때<br />우리는 서로를 감시하고<br />집중한다.,줄바꿈 3줄(브랜드 슬로건) · 원본 <br /> 유지,,
15,1,메인,MainPage 뱃지,components/main/MainPage.tsx:123,라벨,슬로건 하단,계약하고 집중하고 벌칙으로 완성한다,,서명하고 집중하고 벌칙으로 마무리한다.,,,
16,1,메인,MainPage 로고,components/main/MainPage.tsx:107,툴팁,로고 alt,감옥,,,이미지 alt,,
17,1,메인,MainPage,components/main/MainPage.tsx:137,버튼,하단 CTA,방 코드로 입장하기,,방 코드로 입장하기,,,
18,1,메인,MainPage,components/main/MainPage.tsx:144,버튼,하단 CTA,방만들기,,방 만들기,띄어쓰기 누락 검토,,
19,1,메인,MainPage,components/main/MainPage.tsx:80,버튼,로그인+회원 시 우상단,마이페이지,,,,,
20,1,메인,MainPage,components/main/MainPage.tsx:89,버튼,로그인+게스트 시 우상단,로그아웃,,,,,
21,1,메인,MainPage,components/main/MainPage.tsx:98,버튼,미로그인 시 우상단,로그인,,,,,
22,1,메인,MainPage,components/main/MainPage.tsx:38,토스트/알림,미로그인 상태 방 만들기 클릭,로그인하고 바로 이어가세요.,,회원만 생성할 수 있어요.,,,
23,1,메인,코드입장 다이얼로그,components/main/MainPage.tsx:153,제목,코드 입력 다이얼로그,방 코드로 입장,,방 코드로 입장,,,
24,1,메인,코드입장 다이얼로그,components/main/MainPage.tsx:155,본문/설명,코드 입력 다이얼로그,초대받은 방 코드를 입력해주세요.,,입장하실 방 코드를 입력해주세요.,,,
25,1,메인,코드입장 다이얼로그,components/main/MainPage.tsx:160,플레이스홀더,코드 입력 필드,방 코드 8자리를 입력해주세요,,코드 8자리를 입력해주세요,(코드 입력 컴포넌트 사용 시 필요 없어짐),,
26,1,메인,코드입장 다이얼로그,components/main/MainPage.tsx:174,버튼,다이얼로그,취소,,취소,,,
27,1,메인,코드입장 다이얼로그,components/main/MainPage.tsx:181,버튼,다이얼로그,입장하기,,입장하기,,,
28,2,로그인,AuthCallbackPage,components/auth/AuthCallbackPage.tsx:26,로딩,OAuth 콜백 초기,로그인 처리 중...,,로그인 처리 중...,,,
29,2,로그인,AuthCallbackPage,components/auth/AuthCallbackPage.tsx:35,에러,토큰 정보 없음,로그인 정보를 확인할 수 없습니다.,,로그인 정보를 확인할 수 없어요.,,,
30,2,로그인,AuthCallbackPage,components/auth/AuthCallbackPage.tsx:61,에러,약관 동의 처리 오류,로그인은 완료되었으나 약관 동의 처리 중 오류가 발생했습니다.,,로그인은 완료되었으나 약관 동의 처리 중 오류가 발생했어요.,,,
31,2,로그인,AuthCallbackPage,components/auth/AuthCallbackPage.tsx:66,제목,헤더,로그인,,로그인,,,
32,2,로그인,GoogleLoginButton,components/auth/GoogleLoginButton.tsx:34,버튼,구글 로그인,구글 계정으로 감옥 입장하기,,구글 계정으로 감옥 입장하기,"컨셉 반영 우수 사례
현재 쓰이지않는 컴포넌트같음",,
33,2,로그인,OAuthMessageHandler,components/auth/OAuthMessageHandler.tsx:84,에러,약관 동의 처리 오류(alert),로그인은 완료되었으나 약관 동의 처리 중 오류가 발생했습니다.,,로그인은 완료되었으나 약관 동의 처리 중 오류가 발생했어요.,,,
34,2,약관동의,TermsPage,components/auth/TermsPage.tsx:109,제목,헤더,약관 동의,,,,,
35,2,약관동의,TermsPage,components/auth/TermsPage.tsx:123-126,본문/설명,안내,서비스 이용을 위해<br />약관에 동의해 주세요.,,서비스 이용을 위해<br />약관에 동의해 주세요.,줄바꿈 2줄 · 원본 <br /> 유지,,
36,2,약관동의,TermsPage,components/auth/TermsPage.tsx:137,라벨,전체동의 체크박스,약관 전체동의,,,,,
37,2,약관동의,TermsPage,components/auth/TermsPage.tsx:149,라벨,체크박스,서비스 이용약관 (필수),,,법적 문구 톤 유지,,
38,2,약관동의,TermsPage,components/auth/TermsPage.tsx:154,툴팁,약관 링크 aria,서비스 이용약관 전문 보기,,,,,
39,2,약관동의,TermsPage,components/auth/TermsPage.tsx:169,라벨,체크박스,개인정보 수집 및 이용동의 (필수),,,법적 문구 톤 유지,,
40,2,약관동의,TermsPage,components/auth/TermsPage.tsx:175,툴팁,개인정보 링크 aria,개인정보 처리방침 전문 보기,,,,,
41,2,약관동의,TermsPage,components/auth/TermsPage.tsx:190,라벨,체크박스,만 14세 이상 확인 (필수),,,법적 문구 톤 유지,,
42,2,약관동의,TermsPage,components/auth/TermsPage.tsx:118,버튼,로딩 중,처리 중...,,처리 중...,,,
43,2,약관동의,TermsPage,components/auth/TermsPage.tsx:118,버튼,기본 상태,Google로 계속하기,,,,,
44,2,약관동의,TermsPage,components/auth/TermsPage.tsx:197,본문/설명,하단 안내,안전한 보안 환경에서 로그인 진행 중,,,보안 안내 톤 유지,,
45,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:201,제목,진입,방 만들기,,방 만들기,,,
46,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:267-270,본문/설명,진입,비밀방을 생성해<br />같이 집중할 멤버를 초대하세요.,,비밀방을 생성해<br />같이 참여할 멤버를 초대하세요.,줄바꿈 2줄 · 원본 <br /> 유지,,
47,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:276,본문/설명,진입,최대 10명까지 입장 가능합니다.,,최대 10명까지 입장 가능해요.,,,
48,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:283,라벨,입력 필드,방 이름,,방 이름,,,
49,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:287,플레이스홀더,입력 필드,방 이름을 입력해주세요,,방 이름을 입력해주세요.,,,
50,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:292-293,라벨,글자수,{roomName.length}/20,{length},,카운터,,
51,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:299,라벨,입력 필드,비밀번호,,비밀번호,,,
52,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:304,플레이스홀더,입력 필드,비밀번호를 입력해주세요,,비밀번호를 입력해주세요.,,,
53,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:314,툴팁,비번 표시 aria,비밀번호 표시,,,,,
54,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:321,유효성,제약 안내,· 비밀번호는 4~12자이어야 합니다.,,· 비밀번호는 4~12자이어야 해요.,,,
55,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:252,버튼,생성 중,생성 중...,,생성 중...,,,
56,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:252,버튼,제출,방 만들기,,방 만들기,,,
57,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:236,제목,생성 완료,방 생성 완료 🎉,,방 생성 완료,,,
58,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:47,본문/설명,생성 완료,방이 성공적으로 생성되었어요!,,(문구 삭제),(문구 삭제),,
59,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:55,라벨,정보 카드,방 이름,,방 이름,,,
60,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:59,라벨,정보 카드,최대 인원,,최대 인원,,,
61,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:60,본문/설명,정보 카드,10명,,,,,
62,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:68,라벨,정보 카드,비밀번호,,비밀번호,,,
63,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:76,라벨,정보 카드,방 코드,,방 코드,,,
64,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:86,라벨,정보 카드,친구 초대 링크,,멤버 초대 링크,,,
65,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:95-96,본문/설명,생성 완료,링크와 비밀번호를 공유하여 <br />같이 집중할 멤버들과 함께 입장해 시작해보세요!,,링크와 비밀번호를 공유하여 <br />멤버들과 함께 집중해보세요!,줄바꿈 2줄 · 원본 <br /> 유지,,
66,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:106,버튼,생성 완료,초대 정보 공유,,방 정보 공유하기,,,
67,3,방 생성,CreateRoom(완료),components/room/CreateRoom.tsx:243,버튼,생성 완료,입장하기,,입장하기,,,
68,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:189,토스트/알림,초대 복사 성공,초대 정보가 복사되었어요,,방 정보가 복사되었어요.,,,
69,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:191,토스트/알림,초대 복사 실패,초대 정보 복사에 실패했습니다.,,방 정보 복사에 실패했어요.,,,
70,3,방 생성,CreateRoom,components/room/CreateRoom.tsx:148,토스트/알림,방 생성 오류(기본값),방 생성 실패,,방 생성 실패,서버 메시지로 대체될 수 있음,,
71,3,방 생성,CreateRoom(게스트),components/room/CreateRoom.tsx:207,본문/설명,게스트 진입,방을 만들려면 로그인이 필요해요.,,로그인 사용자만 생성 가능해요.,,,
72,3,방 생성,CreateRoom(게스트),components/room/CreateRoom.tsx:209-212,본문/설명,게스트 진입,게스트는 방을 만들 수 없어요.<br />회원으로 로그인 후 이용해주세요.,,(문구 삭제),(문구 삭제),,
73,3,방 생성,CreateRoom(게스트),components/room/CreateRoom.tsx:218,버튼,게스트 진입,로그인하기,,로그인하기,,,
74,3,방 생성,CreateRoom(나가기),components/room/CreateRoom.tsx:334-336,확인다이얼로그,완료화면 나가기,지금 나가면 초대 링크를<br />다시 확인할 수 없어요,,(문구 삭제),(문구 삭제),,
75,3,방 생성,CreateRoom(나가기),components/room/CreateRoom.tsx:338,확인다이얼로그,완료화면 나가기 설명,정말 나가시겠습니까?,,(문구 삭제),(문구 삭제),,
76,3,방 생성,CreateRoom(나가기),components/room/CreateRoom.tsx:346,버튼,나가기 다이얼로그,취소,,취소,,,
77,3,방 생성,CreateRoom(나가기),components/room/CreateRoom.tsx:355,버튼,나가기 다이얼로그,나가기,,나가기,용어통일: 나가기/퇴장,,
78,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:149,제목,진입,방 입장하기,,방 입장하기,,,
79,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:154,로딩,방 정보 로딩,방 정보를 불러오는 중...,,방 정보를 불러오는 중...,,,
80,4,방 입장,JoinRoom(계정선택),components/room/JoinRoom.tsx:169,확인다이얼로그,로그인 선택,어떤 계정으로 입장할까요?,,어떤 계정으로 입장할까요?,,,
81,4,방 입장,JoinRoom(계정선택),components/room/JoinRoom.tsx:170-171,확인다이얼로그,로그인 선택 설명,로그인을 하면 집중 기록이 저장돼요.,,로그인을 하면 집중 결과가 저장돼요.,,,
82,4,방 입장,JoinRoom(계정선택),components/room/JoinRoom.tsx:180,버튼,게스트 입장,게스트로 시작,,게스트로 시작하기,,,
83,4,방 입장,JoinRoom(계정선택),components/room/JoinRoom.tsx:186,버튼,구글 로그인,구글 로그인,,,,,
84,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:206,버튼,입장 중,입장 중...,,입장 중...,,,
85,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:206,버튼,제출,입장하기,,입장하기,,,
86,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:213,라벨,입력 필드,내 닉네임,,내 닉네임,,,
87,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:218,플레이스홀더,입력 필드,방에서 사용할 닉네임을 입력해주세요,,방에서 사용할 닉네임을 입력해주세요.,,,
88,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:224,라벨,글자수,{nickname.length}/10,{length},,카운터,,
89,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:237,라벨,입력 필드,방 비밀번호,,방 비밀번호,,,
90,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:242,플레이스홀더,입력 필드,비밀번호를 입력해주세요,,비밀번호를 입력해주세요.,,,
91,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:252,툴팁,비번 표시 aria,비밀번호 표시,,,,,
92,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:259,유효성,제약 안내,· 비밀번호는 4~12자이어야 합니다.,,· 비밀번호는 4~12자이어야 해요.,,,
93,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:114,토스트/알림,입장 오류(기본값),입장 실패,,입장 실패,서버 메시지로 대체될 수 있음,,
94,4,방 입장,JoinRoom,components/room/JoinRoom.tsx:129,토스트/알림,게스트 시작 오류(기본값),게스트 시작 실패,,게스트 시작 실패,서버 메시지로 대체될 수 있음,,
95,4,방 입장,(joined) layout,app/room/[code]/(joined)/layout.tsx:35,토스트/알림,로그인 필요,로그인이 필요해요.,,로그인이 필요해요.,,,
96,5,계약서,ContractForm,components/contract/ContractForm.tsx:220,제목,진입,계약서,,각서,,,
97,5,계약서,ContractForm,components/contract/ContractForm.tsx:279-280,본문/설명,진입,모든 멤버가 서명해야 타이머를 시작할 수 있어요!,,모든 멤버가 서명해야 감금이 시작돼요!,,,
98,5,계약서,ContractForm,components/contract/ContractForm.tsx:292,버튼,상단,나가기,,나가기,용어통일 검토,,
99,5,계약서,ContractForm,components/contract/ContractForm.tsx:301,버튼,미서명 존재 시,강제 시작,,강제 시작,,,
100,5,계약서,ContractForm,components/contract/ContractForm.tsx:313,버튼,시작 중,시작 중...,,시작 중...,,,
101,5,계약서,ContractForm,components/contract/ContractForm.tsx:313,버튼,시작,집중 시작,,감금 시작,,,
102,5,계약서,ContractForm(나가기),components/contract/ContractForm.tsx:166-167,확인다이얼로그,방장 나가기,방장이 나가면 방이 폭파됩니다.\n정말 나가시겠어요?,,방장이 나가면 방이 폭파돼요.\n정말 나가시겠어요?,,,
103,5,계약서,ContractForm(나가기),components/contract/ContractForm.tsx:167,확인다이얼로그,일반 멤버 나가기,정말 방에서 나가시겠어요?,,정말 방에서 나가시겠어요?,,,
104,5,계약서,ContractForm(나가기),components/contract/ContractForm.tsx:168,버튼,나가기 확인,나가기,,나가기,,,
105,5,계약서,ContractForm(강제시작),components/contract/ContractForm.tsx:191,확인다이얼로그,강제 시작,강제로 시작하시겠습니까?,,강제로 시작하시겠어요?,,,
106,5,계약서,ContractForm(강제시작),components/contract/ContractForm.tsx:192,확인다이얼로그,강제 시작 설명,서명하지 않은 유저는 자동으로 강퇴됩니다.,,서명하지 않은 멤버는 자동으로 강퇴돼요.,,,
107,5,계약서,ContractForm(강제시작),components/contract/ContractForm.tsx:193,버튼,강제 시작 확인,시작하기,,시작하기,,,
108,5,계약서,ContractForm(강제시작),components/contract/ContractForm.tsx:194,버튼,강제 시작 취소,아니요,,아니요,,,
109,5,계약서,ContractForm,components/contract/ContractForm.tsx:182,토스트/알림,퇴장 실패,퇴장 처리에 실패했습니다.,,퇴장 처리에 실패했어요.,,,
110,5,계약서,ContractForm,components/contract/ContractForm.tsx:105,토스트/알림,시작 오류(기본값),시작 실패,,시작 실패,서버 메시지로 대체될 수 있음,,
111,5,계약서,ContractForm,components/contract/ContractForm.tsx:118,토스트/알림,강제 시작 오류(기본값),강제 시작 실패,,강제 시작 실패,서버 메시지로 대체될 수 있음,,
112,5,계약서,RoomTitle,components/contract/RoomTitle.tsx:21,상태표시,연결됨,실시간 연결됨,,실시간 연결됨,,,
113,5,계약서,RoomTitle,components/contract/RoomTitle.tsx:21,상태표시,연결 중,연결 시도 중...,,연결 시도 중...,,,
114,5,계약서,RoomTitle,components/contract/RoomTitle.tsx:25,본문/설명,방 코드 표시,방 코드: {code},{code},,,,
115,5,계약서,RoomTitle,components/contract/RoomTitle.tsx:26,본문/설명,안내,함께 규칙을 정하고 서명하세요.,,함께 각서를 쓰고 서명하세요.,,,
116,5,계약서,TimerSettings,components/contract/TimerSettings.tsx:160,제목,섹션,타이머 설정,,시간 설정,,,
117,5,계약서,TimerSettings,components/contract/TimerSettings.tsx:161,본문/설명,제한 안내,최대 10시간,,,,,
118,5,계약서,TimerSettings,components/contract/TimerSettings.tsx:168,라벨,입력,집중 시간 (최대 120분),,집중 시간 (최대 120분),,,
119,5,계약서,TimerSettings,components/contract/TimerSettings.tsx:191,라벨,단위,분,,,단위 일관성,,
120,5,계약서,TimerSettings,components/contract/TimerSettings.tsx:197-199,라벨,입력,휴식 시간 (최대 120분),,휴식 시간 (최대 120분),,,
121,5,계약서,TimerSettings,components/contract/TimerSettings.tsx:227-229,라벨,입력,반복 횟수 (최대 20회),,반복 횟수 (최대 20회),,,
122,5,계약서,TimerSettings,components/contract/TimerSettings.tsx:251,라벨,단위,회,,,단위 일관성,,
123,5,계약서,TimerSettings,components/contract/TimerSettings.tsx:257,라벨,예상시간,총 예상 시간,,진행 예정 시간,,,
124,5,계약서,PenaltyList,components/contract/PenaltyList.tsx:142,제목,섹션,벌칙 목록,,벌칙 목록,,,
125,5,계약서,PenaltyList,components/contract/PenaltyList.tsx:144,본문/설명,섹션 설명,벌칙은 중복될 수 있음,,벌칙은 중복될 수 있어요.,,,
126,5,계약서,PenaltyList,components/contract/PenaltyList.tsx:178,플레이스홀더,벌칙 입력,예: 팔굽혀펴기 10회,,예: 팔굽혀펴기 10회,,,
127,5,계약서,PenaltyList,components/contract/PenaltyList.tsx:188,툴팁,삭제 aria,{i+1}번째 벌칙 삭제,{index},,,,
